Step;avg_deliberation;avg_imitation;avg_repetition;avg_social;avg_utility;std_deliberation;std_imitation;std_repetition;std_social;std_utility
214;9.933333333333334;0.0;0.0;0.0;88.4;3,1502;0,0000;0,0000;0,0000;7,6607
215;9.266666666666667;0.0;0.06666666666666668;0.0;91.66666666666667;3,5950;0,0000;0,2582;0,0000;8,5663
216;11.466666666666667;0.0;0.0;0.0;92.6;3,3989;0,0000;0,0000;0,0000;7,1494
217;10.066666666666666;0.0;0.0;0.0;89.46666666666667;3,5750;0,0000;0,0000;0,0000;9,0306
218;11.6;0.0;0.0;0.0;94.13333333333334;3,1351;0,0000;0,0000;0,0000;8,9192
219;10.266666666666667;0.0;0.0;0.0;90.86666666666666;3,2834;0,0000;0,0000;0,0000;9,3646
220;11.533333333333333;0.0;0.0;0.0;92.26666666666667;2,8251;0,0000;0,0000;0,0000;8,3876
221;11.4;0.0;0.0;0.0;93.06666666666666;3,4600;0,0000;0,0000;0,0000;8,7380
222;11.333333333333334;0.0;0.0;0.0;93.66666666666667;3,8668;0,0000;0,0000;0,0000;11,4995
223;9.4;0.0;0.0;0.0;96.4;2,5014;0,0000;0,0000;0,0000;8,7080
224;11.4;0.0;0.0;0.0;94.06666666666666;2,9713;0,0000;0,0000;0,0000;6,7344
225;10.666666666666666;0.0;0.0;0.0;96.06666666666666;3,2878;0,0000;0,0000;0,0000;6,0293
226;11.2;0.0;0.0;0.0;97.13333333333334;2,6241;0,0000;0,0000;0,0000;7,3860
227;10.4;0.0;0.0;0.0;91.2;2,9952;0,0000;0,0000;0,0000;12,1314
228;9.4;0.0;0.0;0.0;95.13333333333334;3,2689;0,0000;0,0000;0,0000;7,5296
229;10.266666666666667;0.0;0.0;0.0;92.53333333333333;2,5204;0,0000;0,0000;0,0000;8,8226
230;10.333333333333334;0.0;0.0;0.0;91.0;2,7430;0,0000;0,0000;0,0000;6,1296
231;8.733333333333333;0.0;0.0;0.0;93.66666666666667;2,9633;0,0000;0,0000;0,0000;9,6634
232;10.733333333333333;0.0;0.0;0.0;94.4;3,4531;0,0000;0,0000;0,0000;10,2942
233;9.533333333333333;0.0;0.0;0.0;87.86666666666666;3,9255;0,0000;0,0000;0,0000;6,1396
234;8.533333333333333;0.0;0.0;0.0;91.46666666666667;2,1996;0,0000;0,0000;0,0000;8,2624
235;10.066666666666666;0.0;0.0;0.0;91.33333333333333;2,0517;0,0000;0,0000;0,0000;7,8982
236;9.8;0.0;0.0;0.0;95.4;2,6780;0,0000;0,0000;0,0000;10,2525
237;11.466666666666667;0.0;0.0;0.0;88.33333333333333;3,1366;0,0000;0,0000;0,0000;8,6327
238;11.4;0.0;0.0;0.0;88.0;2,9472;0,0000;0,0000;0,0000;12,0535
239;9.2;0.0;0.0;0.0;90.53333333333333;3,2994;0,0000;0,0000;0,0000;8,3910
240;9.6;0.0;0.0;0.0;93.33333333333333;3,1578;0,0000;0,0000;0,0000;10,7149
241;9.8;0.0;0.06666666666666668;0.0;96.2;3,0752;0,0000;0,2582;0,0000;11,7729
242;10.333333333333334;0.0;0.0;0.0;93.73333333333333;4,0825;0,0000;0,0000;0,0000;9,1219
243;11.866666666666667;0.0;0.0;0.0;93.93333333333334;3,4407;0,0000;0,0000;0,0000;10,3473
244;9.0;0.0;0.06666666666666668;0.0;92.4;1,8127;0,0000;0,2582;0,0000;8,8785
245;9.466666666666667;0.0;0.0;0.0;91.53333333333333;2,2318;0,0000;0,0000;0,0000;7,4149
246;9.933333333333334;0.0;0.0;0.0;91.8;2,8149;0,0000;0,0000;0,0000;7,3504
247;10.0;0.0;0.0;0.0;92.53333333333333;2,4202;0,0000;0,0000;0,0000;9,8841
248;10.8;0.0;0.0;0.0;95.13333333333334;3,1893;0,0000;0,0000;0,0000;9,8261
249;10.666666666666666;0.0;0.0;0.0;93.8;3,9761;0,0000;0,0000;0,0000;7,7108
250;11.933333333333334;0.0;0.13333333333333333;0.0;93.86666666666666;2,6313;0,0000;0,3519;0,0000;9,3110
251;9.8;0.0;0.0;0.0;95.46666666666667;3,7264;0,0000;0,0000;0,0000;6,6640
252;9.466666666666667;0.0;0.06666666666666668;0.0;92.86666666666666;3,4819;0,0000;0,2582;0,0000;5,7305
253;10.2;0.0;0.0;0.0;89.66666666666667;3,3637;0,0000;0,0000;0,0000;8,0682
254;9.733333333333333;0.0;0.0;0.0;97.2;2,4919;0,0000;0,0000;0,0000;9,2056
255;10.666666666666666;0.0;0.06666666666666668;0.0;90.93333333333334;4,1519;0,0000;0,2582;0,0000;10,0105
